Year,10 Year MA global ,10 Year MA NY,10 Year MA DUB
1990,8.936,10.214,8.965
1991,8.937,10.355,8.994
1992,8.957,10.334,8.993
1993,8.941,10.287,8.941
1994,8.976,10.261,8.947
1995,9.045,10.259,9.088
1996,9.066,10.225,9.17
1997,9.087,10.193,9.299
1998,9.119,10.382,9.354
1999,9.156,10.532,9.372
2000,9.153,10.397,9.356
2001,9.176,10.354,9.376
2002,9.249,10.522,9.444
2003,9.315,10.502,9.539
2004,9.343,10.541,9.603
2005,9.378,10.585,9.619
2006,9.427,10.756,9.734
2007,9.48,10.819,9.75
2008,9.471,10.701,9.721
2009,9.493,10.599,9.693
2010,9.543,10.738,9.588
2011,9.554,10.772,9.637
2012,9.548,10.844,9.59
2013,9.556,11.076,9.538
