year,10 year MA global,10 year MA Dublin,10 year MA New York
1759,8.03,8.44,8.57
1760,7.88,8.32,8.33
1761,7.96,8.3,8.27
1762,8.24,8.5,8.95
1763,8.15,8.44,8.72
1764,8.14,8.4,8.68
1765,8.13,8.38,8.92
1766,8.09,8.33,8.93
1767,8.01,8.3,8.9
1768,8.01,8.34,8.95
1769,7.98,8.29,8.96
1770,8.03,8.28,9.09
1771,7.94,8.2,9.09
1772,7.9,8.19,9.1
1773,7.97,8.22,9.38
1774,8.01,8.22,9.38
1775,8.1,8.32,9.51
1776,8.09,8.32,9.41
1777,8.09,8.34,9.44
1778,8.27,8.4,9.26
1779,8.4,8.54,8.37
1780,8.57,8.64,8.3
1781,8.6,8.78,8.26
1782,8.57,8.7,8.2
1783,8.51,8.74,8.06
1784,8.42,8.68,7.94
1785,8.24,8.59,7.74
1786,8.24,8.55,7.73
1787,8.21,8.58,7.75
1788,8.21,8.58,8.07
1789,8.14,8.47,9.09
1790,8,8.47,9.12
1791,8.01,8.4,9.08
1792,8.03,8.54,9.03
1793,8.08,8.55,9.14
1794,8.15,8.7,9.28
1795,8.25,8.73,9.35
1796,8.25,8.81,9.35
1797,8.3,8.79,9.34
1798,8.32,8.82,9.34
1799,8.34,8.7,9.31
1800,8.39,8.65,9.33
1801,8.42,8.65,9.39
1802,8.47,8.63,9.55
1803,8.5,8.61,9.57
1804,8.53,8.57,9.56
1805,8.55,8.58,9.68
1806,8.57,8.59,9.72
1807,8.54,8.52,9.75
1808,8.44,8.42,9.74
1809,8.3,8.47,9.71
1810,8.14,8.41,9.68
1811,7.97,8.39,9.63
1812,7.82,8.29,9.38
1813,7.74,8.28,9.26
1814,7.61,8.15,9.16
1815,7.48,8.1,8.95
1816,7.33,7.95,8.8
1817,7.2,7.95,8.66
1818,7.22,8.02,8.52
1819,7.25,8.06,8.54
1820,7.32,8.09,8.5
1821,7.45,8.12,8.41
1822,7.56,8.26,8.62
1823,7.56,8.22,8.59
1824,7.65,8.35,8.65
1825,7.77,8.45,8.84
1826,7.91,8.66,9.04
1827,8.09,8.73,9.19
1828,8.13,8.78,9.44
1829,8.18,8.72,9.45
1830,8.27,8.73,9.59
1831,8.23,8.74,9.64
1832,8.16,8.68,9.57
1833,8.18,8.73,9.62
1834,8.14,8.8,9.63
1835,8.04,8.75,9.45
1836,7.98,8.62,9.21
1837,7.84,8.57,9.1
1838,7.77,8.38,8.9
1839,7.74,8.41,8.9
1840,7.67,8.4,8.8
1841,7.67,8.31,8.79
1842,7.73,8.33,8.82
1843,7.74,8.34,8.75
1844,7.69,8.23,8.73
1845,7.74,8.17,8.83
1846,7.83,8.33,9.05
1847,7.9,8.38,9.16
1848,7.94,8.47,9.25
1849,7.98,8.52,9.21
1850,7.99,8.56,9.19
1851,8.04,8.61,9.22
1852,8.05,8.64,9.18
1853,8.03,8.59,9.3
1854,8.09,8.64,9.34
1855,8.11,8.6,9.3
1856,8.06,8.5,9.16
1857,8.03,8.56,9.08
1858,8.04,8.58,9.04
1859,8.07,8.6,9.07
1860,8.07,8.5,9.08
1861,8.04,8.5,9.1
1862,7.98,8.43,9.1
1863,7.99,8.51,9.04
1864,7.97,8.46,9.02
1865,7.98,8.6,9.07
1866,8,8.62,9.14
1867,8.07,8.53,9.15
1868,8.09,8.6,9.03
1869,8.11,8.61,9
1870,8.13,8.71,9.09
1871,8.16,8.71,9.03
1872,8.22,8.76,9
1873,8.24,8.71,8.93
1874,8.29,8.75,8.91
1875,8.26,8.73,8.72
1876,8.24,8.75,8.76
1877,8.25,8.76,8.91
1878,8.3,8.7,9.16
1879,8.28,8.53,9.21
1880,8.27,8.53,9.2
1881,8.28,8.44,9.29
1882,8.28,8.43,9.35
1883,8.24,8.41,9.36
