year,city,country,avg_temp,10 YEAR MA
1750,Dublin,Ireland,9.32,
1751,Dublin,Ireland,9.12,
1752,Dublin,Ireland,6.28,
1753,Dublin,Ireland,8.63,
1754,Dublin,Ireland,8.59,
1755,Dublin,Ireland,8.29,
1756,Dublin,Ireland,8.75,
1757,Dublin,Ireland,8.72,
1758,Dublin,Ireland,7.83,
1759,Dublin,Ireland,8.82,8.435
1760,Dublin,Ireland,8.14,8.317
1761,Dublin,Ireland,8.95,8.3
1762,Dublin,Ireland,8.32,8.504
1763,Dublin,Ireland,7.95,8.436
1764,Dublin,Ireland,8.26,8.403
1765,Dublin,Ireland,8.08,8.382
1766,Dublin,Ireland,8.24,8.331
1767,Dublin,Ireland,8.38,8.297
1768,Dublin,Ireland,8.25,8.339
1769,Dublin,Ireland,8.33,8.29
1770,Dublin,Ireland,8.08,8.284
1771,Dublin,Ireland,8.14,8.203
1772,Dublin,Ireland,8.22,8.193
1773,Dublin,Ireland,8.26,8.224
1774,Dublin,Ireland,8.22,8.22
1775,Dublin,Ireland,9.06,8.318
1776,Dublin,Ireland,8.3,8.324
1777,Dublin,Ireland,8.49,8.335
1778,Dublin,Ireland,8.9,8.4
1779,Dublin,Ireland,9.77,8.544
1780,Dublin,Ireland,9.02,8.638
1781,Dublin,Ireland,9.51,8.775
1782,Dublin,Ireland,7.46,8.699
1783,Dublin,Ireland,8.65,8.738
1784,Dublin,Ireland,7.67,8.683
1785,Dublin,Ireland,8.11,8.588
1786,Dublin,Ireland,7.89,8.547
1787,Dublin,Ireland,8.84,8.582
1788,Dublin,Ireland,8.84,8.576
1789,Dublin,Ireland,8.74,8.473
1790,Dublin,Ireland,8.99,8.47
1791,Dublin,Ireland,8.84,8.403
1792,Dublin,Ireland,8.82,8.539
1793,Dublin,Ireland,8.76,8.55
1794,Dublin,Ireland,9.13,8.696
1795,Dublin,Ireland,8.41,8.726
1796,Dublin,Ireland,8.68,8.805
1797,Dublin,Ireland,8.66,8.787
1798,Dublin,Ireland,9.14,8.817
1799,Dublin,Ireland,7.56,8.699
1800,Dublin,Ireland,8.47,8.647
1801,Dublin,Ireland,8.88,8.651
1802,Dublin,Ireland,8.65,8.634
1803,Dublin,Ireland,8.47,8.605
1804,Dublin,Ireland,8.8,8.572
1805,Dublin,Ireland,8.52,8.583
1806,Dublin,Ireland,8.73,8.588
1807,Dublin,Ireland,7.97,8.519
1808,Dublin,Ireland,8.17,8.422
1809,Dublin,Ireland,8.02,8.468
1810,Dublin,Ireland,7.9,8.411
1811,Dublin,Ireland,8.64,8.387
1812,Dublin,Ireland,7.72,8.294
1813,Dublin,Ireland,8.33,8.28
1814,Dublin,Ireland,7.45,8.145
1815,Dublin,Ireland,8.09,8.102
1816,Dublin,Ireland,7.2,7.949
1817,Dublin,Ireland,8.01,7.953
1818,Dublin,Ireland,8.88,8.024
1819,Dublin,Ireland,8.41,8.063
1820,Dublin,Ireland,8.12,8.085
1821,Dublin,Ireland,8.97,8.118
1822,Dublin,Ireland,9.14,8.26
1823,Dublin,Ireland,7.96,8.223
1824,Dublin,Ireland,8.74,8.352
1825,Dublin,Ireland,9.11,8.454
1826,Dublin,Ireland,9.24,8.658
1827,Dublin,Ireland,8.76,8.733
1828,Dublin,Ireland,9.37,8.782
1829,Dublin,Ireland,7.76,8.717
1830,Dublin,Ireland,8.24,8.729
1831,Dublin,Ireland,9.03,8.735
1832,Dublin,Ireland,8.58,8.679
1833,Dublin,Ireland,8.5,8.733
1834,Dublin,Ireland,9.41,8.8
1835,Dublin,Ireland,8.64,8.753
1836,Dublin,Ireland,7.94,8.623
1837,Dublin,Ireland,8.21,8.568
1838,Dublin,Ireland,7.52,8.383
1839,Dublin,Ireland,8.03,8.41
1840,Dublin,Ireland,8.12,8.398
1841,Dublin,Ireland,8.19,8.314
1842,Dublin,Ireland,8.76,8.332
1843,Dublin,Ireland,8.58,8.34
1844,Dublin,Ireland,8.34,8.233
1845,Dublin,Ireland,8.03,8.172
1846,Dublin,Ireland,9.47,8.325
1847,Dublin,Ireland,8.71,8.375
1848,Dublin,Ireland,8.42,8.465
1849,Dublin,Ireland,8.53,8.515
1850,Dublin,Ireland,8.6,8.563
1851,Dublin,Ireland,8.62,8.606
1852,Dublin,Ireland,9.07,8.637
1853,Dublin,Ireland,8.07,8.586
1854,Dublin,Ireland,8.84,8.636
1855,Dublin,Ireland,7.67,8.6
1856,Dublin,Ireland,8.42,8.495
1857,Dublin,Ireland,9.34,8.558
1858,Dublin,Ireland,8.65,8.581
1859,Dublin,Ireland,8.74,8.602
1860,Dublin,Ireland,7.54,8.496
1861,Dublin,Ireland,8.7,8.504
1862,Dublin,Ireland,8.3,8.427
1863,Dublin,Ireland,8.91,8.511
1864,Dublin,Ireland,8.34,8.461
1865,Dublin,Ireland,9.07,8.601
1866,Dublin,Ireland,8.57,8.616
1867,Dublin,Ireland,8.45,8.527
1868,Dublin,Ireland,9.35,8.597
1869,Dublin,Ireland,8.86,8.609
1870,Dublin,Ireland,8.5,8.705
1871,Dublin,Ireland,8.73,8.708
1872,Dublin,Ireland,8.79,8.757
1873,Dublin,Ireland,8.42,8.708
1874,Dublin,Ireland,8.75,8.749
1875,Dublin,Ireland,8.86,8.728
1876,Dublin,Ireland,8.77,8.748
1877,Dublin,Ireland,8.52,8.755
1878,Dublin,Ireland,8.75,8.695
1879,Dublin,Ireland,7.17,8.526
1880,Dublin,Ireland,8.52,8.528
1881,Dublin,Ireland,7.88,8.443
1882,Dublin,Ireland,8.63,8.427
1883,Dublin,Ireland,8.23,8.408
1884,Dublin,Ireland,8.84,8.417
1885,Dublin,Ireland,7.88,8.319
1886,Dublin,Ireland,7.97,8.239
1887,Dublin,Ireland,8.16,8.203
1888,Dublin,Ireland,7.96,8.124
1889,Dublin,Ireland,8.56,8.263
1890,Dublin,Ireland,8.55,8.266
1891,Dublin,Ireland,8.14,8.292
1892,Dublin,Ireland,7.6,8.189
1893,Dublin,Ireland,9.23,8.289
1894,Dublin,Ireland,8.54,8.259
1895,Dublin,Ireland,7.94,8.265
1896,Dublin,Ireland,8.78,8.346
1897,Dublin,Ireland,8.81,8.411
1898,Dublin,Ireland,9.36,8.551
1899,Dublin,Ireland,9.13,8.608
1900,Dublin,Ireland,8.64,8.617
1901,Dublin,Ireland,8.45,8.648
1902,Dublin,Ireland,8.39,8.727
1903,Dublin,Ireland,8.44,8.648
1904,Dublin,Ireland,8.45,8.639
1905,Dublin,Ireland,8.66,8.711
1906,Dublin,Ireland,8.62,8.695
1907,Dublin,Ireland,8.28,8.642
1908,Dublin,Ireland,8.95,8.601
1909,Dublin,Ireland,8.18,8.506
1910,Dublin,Ireland,8.48,8.49
1911,Dublin,Ireland,9.03,8.548
1912,Dublin,Ireland,8.52,8.561
1913,Dublin,Ireland,8.84,8.601
1914,Dublin,Ireland,9.05,8.661
1915,Dublin,Ireland,8.19,8.614
1916,Dublin,Ireland,8.66,8.618
1917,Dublin,Ireland,8.08,8.598
1918,Dublin,Ireland,8.85,8.588
1919,Dublin,Ireland,8.04,8.574
1920,Dublin,Ireland,8.94,8.62
1921,Dublin,Ireland,9.8,8.697
1922,Dublin,Ireland,8.25,8.67
1923,Dublin,Ireland,8.51,8.637
1924,Dublin,Ireland,8.69,8.601
1925,Dublin,Ireland,8.45,8.627
1926,Dublin,Ireland,9.08,8.669
1927,Dublin,Ireland,8.64,8.725
1928,Dublin,Ireland,8.83,8.723
1929,Dublin,Ireland,8.65,8.784
1930,Dublin,Ireland,8.59,8.749
1931,Dublin,Ireland,8.71,8.64
1932,Dublin,Ireland,8.99,8.714
1933,Dublin,Ireland,9.36,8.799
1934,Dublin,Ireland,9.36,8.866
1935,Dublin,Ireland,8.95,8.916
1936,Dublin,Ireland,8.83,8.891
1937,Dublin,Ireland,8.78,8.905
1938,Dublin,Ireland,9.35,8.957
1939,Dublin,Ireland,9.13,9.005
1940,Dublin,Ireland,8.87,9.033
