year,city,country,avg_temp
1743,Dublin,Ireland,6.80
1744,Dublin,Ireland,9.28
1745,Dublin,Ireland,4.32
1746,Dublin,Ireland,
1747,Dublin,Ireland,
1748,Dublin,Ireland,
1749,Dublin,Ireland,
1750,Dublin,Ireland,9.32
1751,Dublin,Ireland,9.12
1752,Dublin,Ireland,6.28
1753,Dublin,Ireland,8.63
1754,Dublin,Ireland,8.59
1755,Dublin,Ireland,8.29
1756,Dublin,Ireland,8.75
1757,Dublin,Ireland,8.72
1758,Dublin,Ireland,7.83
1759,Dublin,Ireland,8.82
1760,Dublin,Ireland,8.14
1761,Dublin,Ireland,8.95
1762,Dublin,Ireland,8.32
1763,Dublin,Ireland,7.95
1764,Dublin,Ireland,8.26
1765,Dublin,Ireland,8.08
1766,Dublin,Ireland,8.24
1767,Dublin,Ireland,8.38
1768,Dublin,Ireland,8.25
1769,Dublin,Ireland,8.33
1770,Dublin,Ireland,8.08
1771,Dublin,Ireland,8.14
1772,Dublin,Ireland,8.22
1773,Dublin,Ireland,8.26
1774,Dublin,Ireland,8.22
1775,Dublin,Ireland,9.06
1776,Dublin,Ireland,8.30
1777,Dublin,Ireland,8.49
1778,Dublin,Ireland,8.90
1779,Dublin,Ireland,9.77
1780,Dublin,Ireland,9.02
1781,Dublin,Ireland,9.51
1782,Dublin,Ireland,7.46
1783,Dublin,Ireland,8.65
1784,Dublin,Ireland,7.67
1785,Dublin,Ireland,8.11
1786,Dublin,Ireland,7.89
1787,Dublin,Ireland,8.84
1788,Dublin,Ireland,8.84
1789,Dublin,Ireland,8.74
1790,Dublin,Ireland,8.99
1791,Dublin,Ireland,8.84
1792,Dublin,Ireland,8.82
1793,Dublin,Ireland,8.76
1794,Dublin,Ireland,9.13
1795,Dublin,Ireland,8.41
1796,Dublin,Ireland,8.68
1797,Dublin,Ireland,8.66
1798,Dublin,Ireland,9.14
1799,Dublin,Ireland,7.56
1800,Dublin,Ireland,8.47
1801,Dublin,Ireland,8.88
1802,Dublin,Ireland,8.65
1803,Dublin,Ireland,8.47
1804,Dublin,Ireland,8.80
1805,Dublin,Ireland,8.52
1806,Dublin,Ireland,8.73
1807,Dublin,Ireland,7.97
1808,Dublin,Ireland,8.17
1809,Dublin,Ireland,8.02
1810,Dublin,Ireland,7.90
1811,Dublin,Ireland,8.64
1812,Dublin,Ireland,7.72
1813,Dublin,Ireland,8.33
1814,Dublin,Ireland,7.45
1815,Dublin,Ireland,8.09
1816,Dublin,Ireland,7.20
1817,Dublin,Ireland,8.01
1818,Dublin,Ireland,8.88
1819,Dublin,Ireland,8.41
1820,Dublin,Ireland,8.12
1821,Dublin,Ireland,8.97
1822,Dublin,Ireland,9.14
1823,Dublin,Ireland,7.96
1824,Dublin,Ireland,8.74
